#separator:Comma
#html:true
#columns:Front,Back
"What is the AWS account root user, and what is best practice for using it?","- The initial user created for an AWS account; has full control that can't be restricted<br>- Best practice: only use it for initial account setup, then create and use an IAM identity instead"
"What are the three types of IAM identity objects, and what is each used for?","- User: represents humans or applications that need access<br>- Group: a collection of related users<br>- Role: used by AWS services, or to grant external access, when the number of entities needing access is uncertain"
"What are the four types of MFA factors, with an example of each?","- Knowledge: something you know (username, password)<br>- Possession: something you have (bank card, MFA device/app)<br>- Inherent: something you are (fingerprint, face, voice, iris)<br>- Location: where you are (physical location, network logged into)"
"What are the three jobs of IAM?","- Manage identities (acts as an identity provider / IDP)<br>- Authenticate identities<br>- Authorize -- allow or deny access to resources"
"What are the basic characteristics of the IAM service?","- No cost, global service, globally resilient (every account has its own dedicated instance of IAM)<br>- Allows or denies identities only on its own account -- no direct control over external accounts/users<br>- Supports identity federation and MFA"
"What are IAM access keys, and what are their two parts?","- A type of long-term credential used by IAM users (vs. username/password for the console)<br>- Access key ID (public part) and secret access key (private part)<br>- Can be created, deleted, or made inactive/active, but not modified -- if compromised, delete and rotate to a new one"
"What are the limits on an IAM user's passwords and access keys?","- Each IAM user has 1 username and 1 password (password is optional -- some IAM users never log in)<br>- Each IAM user can have up to 2 access keys (useful for rotating keys)"
"What are the elements of an IAM policy statement?","- `Sid`: statement ID describing what the statement covers<br>- `Effect`: `allow` or `deny`<br>- `Action`: format `[service:resource]`; can be a specific action, wildcard `*`, or a list of actions<br>- `Resource`: wildcard or a specific resource identified by an AWS ARN"
"If an identity has both an explicit allow and an explicit deny for the same action, what happens, and what is the overall IAM policy evaluation order?","- Both statements are applied; the explicit deny wins<br>- Order of priority: 1) explicit deny overrules everything, 2) explicit allow takes effect unless there's an explicit deny, 3) default deny (implicit) applies if nothing else grants access"
"What is the difference between inline and managed IAM policies?","- Inline policies: applied to an individual identity; used for special/exception access rights<br>- Managed policies: created once and attached to any number of identities; reusable with lower management overhead; can be AWS managed or custom"
"What are the account and group limits for IAM users?","- Up to 5,000 IAM users per account<br>- An IAM user can be a member of up to 10 groups<br>- IAM roles and identity federation can be used to work around these limits"
"In IAM, what is a Principal, and what is the difference between Authentication and Authorization?","- Principal: the entity trying to access an AWS account; must be authenticated and authorized<br>- Authentication: the principal proves it is who it claims to be (e.g. username/password, access keys)<br>- Authorization: IAM checks the statements that apply to that identity"
"What is the format of an AWS ARN (Amazon Resource Name)?","- `arn:partition:service:region:account-id:resource-id`<br>- `arn:partition:service:region:account-id:resource-type/resource-id`<br>- `arn:partition:service:region:account-id:resource-type:resource-id`<br>- Region/account ID can be omitted when not applicable (e.g. S3 bucket ARNs, since bucket names are globally unique)"
