#separator:Comma
#html:true
#columns:Front,Back
"What is AWS StackSet useful for?","- deploy cfn stacks across many accounts and region, without having to separately authenticate into each<br>- example: creating IAM cross-account access roles across many accounts"
"What is the difference between a logical resource and a physical resource in CloudFormation?","- Logical resource: defined in the template (name, type, properties)<br>- Physical resource: the actual resource created in your account from that logical resource<br>- Once the logical resource reaches CREATE_COMPLETE, the template can query attributes of the physical resource (e.g. an EC2 instance ID)"
"What happens to a CloudFormation stack's physical resources when the template changes or the stack is deleted?","- If the stack's template changes, the physical resources are changed<br>- If the stack is deleted, the physical resources are deleted"
"What are CloudFormation pseudo parameters?","- Values injected into the template & stack automatically by AWS (not supplied by the user)<br>- Examples: AWS::Region, AWS::StackName, AWS::StackId, AWS::AccountId<br>- Best practice: use pseudo parameters/defaults where possible instead of manual template parameter input"
"What is the difference between CloudFormation template parameters and pseudo parameters?","- Template parameters: a human or process supplies input (via CLI/API) when a stack is created or updated<br>- Pseudo parameters: values injected automatically by AWS (region, account ID, stack name/ID)<br>- Both can be used together (in tandem)"
"What does the `!Ref` intrinsic function return?","- On template or pseudo parameters: returns their value<br>- On logical resources: usually returns the resource's physical ID<br>- Ex: `!Ref Instance` --> `i-123456asbcdef0`"
"What is `Fn::GetAtt` used for?","- Retrieves an attribute associated with a logical resource (e.g. public IP, public DNS name)<br>- Lets you reference an attribute from one logical resource in another<br>- Syntax: `!GetAtt LogicalResource.Attribute`"
"What do `Fn::Join` and `Fn::Split` do?","- `Fn::Split`: takes a string and outputs a list<br>- `Fn::Join`: takes a list and joins it into a string"
"What does `Fn::GetAZs` do, and why is it useful?","- Gets the list of availability zones in a region, so you can select from it<br>- Avoids hardcoding AZs, keeping templates portable<br>- `!GetAZs ""us-east-1""` or `!GetAZs """"` (current region)"
"What does `Fn::Select` do?","- Allows you to reference an item in a list using an index"
"What is `Fn::Base64` used for?","- Base64-encodes a string for substitution within text<br>- Example: pass UserData through `Fn::Base64` before using it in the UserData property"
"What is `Fn::Cidr` used for, and what inputs does it need?","- Configures/generates subnet CIDR ranges<br>- Inputs: a CIDR block, how many subnets to generate from the input VPC range, and bits per CIDR"
"What is a CloudFormation Mappings object, and how do you look up a value from it?","- A feature that makes portable templates easier by mapping keys to values<br>- Can have one key, or a top-level key and a second-level key<br>- Retrieved with `!FindInMap [mapName, key]` or `!FindInMap [mapName, topLevelKey, secondLevelKey]`<br>- Commonly used to look up an AMI ID for a given region/architecture"
"What are CloudFormation Outputs used for?","- Declaring values to surface via the CLI/console UI after a stack is created<br>- Accessible from a parent stack when using nested stacks<br>- Can be exported to allow cross-stack references"
"How does CloudFormation process a Condition attached to a resource?","- Conditions are evaluated (true/false) before resources are created<br>- If a condition is present on a resource, CloudFormation compares it to the evaluated condition<br>- If true, the resource is created; if false, it is skipped"
"When do you need to use `DependsOn` in CloudFormation?","- CloudFormation normally creates/updates/deletes resources in parallel and infers dependency order automatically (e.g. via `!Ref`)<br>- Use `DependsOn` when there's no implicit/inherent dependency between resources but one is still required<br>- Example: an elastic IP needs an Internet Gateway attached to a VPC, but there may be no automatic reference-based dependency"
"What problem do Wait Conditions and cfn-signal solve in CloudFormation?","- Normally CloudFormation only knows a resource reached CREATE_COMPLETE<br>- cfn-signal/Wait Conditions add more detailed signalling: waiting for a number of success signals before flagging CREATE_COMPLETE<br>- If a failure signal is received, or a timeout (max 12 hours) is reached, creation fails"
"What is a WaitHandle in a CloudFormation Wait Condition?","- An implicit resource that a Wait Condition depends on<br>- Generates a presigned URL that resource signals are sent to"
"What are the key limitations and use cases for CloudFormation Nested Stacks?","- Limit: 500 resources per stack; can't easily reuse resources like a VPC across stacks<br>- Use nested stacks to overcome the 500-resource limit, modularize templates for reuse, and simplify installation (root stack creates many nested stacks)<br>- Only use nested stacks when resources are fully lifecycle-linked (created and deleted together)"
"How do parent and nested (child) stacks share data in CloudFormation?","- The nested stack template must be supplied as a URL, with parameters passed in from the parent<br>- Outputs of the child stack are returned to the parent<br>- The parent can't reference the child's logical resources directly, but CAN reference the child's outputs<br>- The root/parent stack isn't CREATE_COMPLETE until all its children are CREATE_COMPLETE"
"When should you use Cross-Stack References instead of Nested Stacks?","- When resources are NOT lifecycle-linked (e.g. a long-lived VPC vs. shorter-lived applications running on it)<br>- Cross-stack references allow reuse of actual physical resources between independent stacks"
"How do you consume a value from another stack using a Cross-Stack Reference?","- The producing stack must export the output value (export names must be unique within the region)<br>- The consuming stack uses `Fn::ImportValue` with the export name (instead of `!Ref`) to get the value"
"What do the ""concurrent accounts"" and ""failure tolerance"" settings control in a CloudFormation StackSet?","- Concurrent accounts: how many accounts can be deployed to at the same time (higher = faster overall deployment)<br>- Failure tolerance: how many individual deployments can fail before the whole StackSet is considered failed"
"What does the ""retain stacks"" setting do when removing stack instances from a StackSet?","- By default, removing a stack instance deletes the underlying stack<br>- ""Retain stacks"" can be set to keep the actual stack in place instead of deleting it"
